id	address	price	lng	lat
/inmueble/30725943/	calle san vicente ferrer, Malasaña-Universidad, Madrid	850	-3.7037902	40.4167754
/inmueble/30785783/	calle juan álvarez mendizábal, 12, Argüelles, Madrid	825	 -3.7141653	40.42414369999999
/inmueble/30651734/	calle samaniego, Rejas, Madrid	600	-3.5815975	40.443774
/inmueble/30785779/	calle rafael bergamin, San Juan Bautista, Madrid	950	-3.6613057	40.44842879999999
/inmueble/30528195/	calle de Samaria, 14, Niño Jesús, Madrid	3200	-3.671266399999999	40.4128011
/inmueble/30785771/	calle alegría de la huerta, 12, Los Ángeles, Madrid	650	-3.6956742	40.3550832
/inmueble/30454095/	calle General Aranda, Ventilla-Almenara, Madrid	620	-3.6958778	40.4694349
/inmueble/30785766/	calle de la masó, Mirasierra, Madrid	1650	-3.7128335	40.491598
/inmueble/26013201/	calle Ponzano, Nuevos Ministerios-Ríos Rosas, Madrid	1850	-3.7010613	40.4426828
/inmueble/30785768/	calle las matas, 13, Berruguete, Madrid	450	-3.706605599999999	40.459257
/inmueble/30518708/	Chueca-Justicia, Madrid	2950	-3.6976649	40.4226162
/inmueble/30785711/	Almagro, Madrid	1600	-3.695287	40.4338618
/inmueble/30440221/	Castellana, Madrid	8500	-3.6871448	40.435469
/inmueble/30785706/	calle amaniel, Malasaña-Universidad, Madrid	900	-3.7037902	40.4167754
/inmueble/28989649/	Recoletos, Madrid	2300	-3.6866377	40.4238593
/inmueble/29822160/	calle San Herculano, 9, Canillejas, Madrid	495	 -3.6109172	40.4411697
/inmueble/30603390/	calle golfo de salonica, 63, Apóstol Santiago, Madrid	875	 -3.6614644	40.4811147
/inmueble/30785685/	Argüelles, Madrid	1600	-3.721413	40.4294136
/inmueble/30577685/	calle Golfo de Salonica, 63, Apóstol Santiago, Madrid	875	 -3.6614644	40.4811147
/inmueble/26101512/	calle Velarde, 1, Malasaña-Universidad, Madrid	1200	-3.7037902	40.4167754
/inmueble/1935473/	calle Golfo de Salónica, 50, Costillares, Madrid	1200	-3.6621741	40.4809957
/inmueble/30785655/	calle marceliano santa maria, El Viso, Madrid	1800	-3.6884898	40.450672
/inmueble/30644745/	modesto lafuente, Almagro, Madrid	1550	-3.6960989	40.4405582
/inmueble/30785637/	Bernabéu-Hispanoamérica, Madrid	800	-3.6883445	40.4530541
/inmueble/781554/	calle Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid	1000	-3.7010613	40.4426828
/inmueble/30785616/	paseo de la castellana, Nueva España, Madrid	1300	-3.6891635	40.45424089999999
/inmueble/1285551/	calle de la Olimpiada, Ciudad Universitaria, Madrid	1000	-3.7104241	40.4502296
/inmueble/30785618/	calle benigno soto, 9, Ciudad Jardín, Madrid	600	-3.6742683	40.4480999
